Row#,Code,Description,Active
243,SLS COOR,SALES COORDINATOR,TRUE
244,SLS EXEC,SALES EXECUTIVE,TRUE
245,SLS OP MNG,SALES OPERATION MANAGER,TRUE
246,SNR CHMST,SENIOR CHEMIST,TRUE
247,SNR CS,SENIOR CUSTOMER SERVICE EXECUTIVE,TRUE
248,SNR PLAN,SENIOR PLANNER EXECUTIVE,TRUE
249,SNR PR ENG,SENIOR PROCESS ENGINEER,TRUE
250,SNR QA EXE,SENIOR QA EXECUTIVE,TRUE
251,SNR S.SUPP,SENIOR SALES SUPPORT,TRUE
252,SNR SPVR,SENIOR PRODUCTION SUPERVISOR,TRUE
253,SNR ST SPV,SENIOR STORE SUPERVISOR,TRUE
254,SPVR,SUPERVISOR,TRUE
255,SR ACC EXE,SENIOR ACCOUNT EXECUTIVE,TRUE
256,SR EXP EXE,SENIOR EXPORT EXECUTIVE,TRUE
257,SR FIN EXE,SENIOR FINANCE EXECUTIVE,TRUE
258,SR HRA EXE,SENIOR HR & ADMIN EXECUTIVE,TRUE
259,SR LAB CHE,SENIOR LABORATORY CHEMIST,TRUE
260,SR LOG EXE,SENIOR LOGISTIC EXECUTIVE,TRUE
261,SR PRO EXE,SENIOR PROCUREMENT EXECUTIVE,TRUE
262,SR SHIP EX,SENIOR SHIPPING EXECUTIVE,TRUE
263,SR TECH,SENIOR TECHNICIAN (MAINTENANCE),TRUE
264,SR-ADM/COR,SR SALES ADMIN CUM COORDINATOR,TRUE
265,SRSLEXEC,SR SALES EXECUTIVE,TRUE
266,STORE EXEC,STORE EXECUTIVE,TRUE
267,STR AST,STORE ASSISTANT,TRUE
268,STR CLK,STORE CLERK,TRUE
269,STR KEEPER,STORE KEEPER,TRUE
270,STR SPVS,STORE SUPERVISOR,TRUE
271,SYS EXEC,SYSTEM SUPPORT EXECUTIVE,TRUE
272,TECHNICIAN,TECHNICIAN,TRUE
273,TEMP,TEMPORARY ACCOUNT PERSONNEL,TRUE
274,TRAINEE,TRAINEE,TRUE
